ticket,marital_status,gender,dwelling,adults,children,education,income,occupation,CCAA,response
2ef8eb77-945e-4295-a33a-9bff1f7e6f1e_b981c2388d27d31f,Divorciado/a o separado/a,Mujer,Apartamento o piso,2 personas,Ninguna,Educación secundaria,Prefiero no responder,Jubilado/a o pensionista,Castilla-La Mancha,18
0ff3ad8b-6113-4c5a-91c1-ca7c46f52f31_b981c2388d27d31f,Casado/a,Mujer,Apartamento o piso,2 personas,Ninguna,Formación profesional o técnica,1501€ - 2000€,Trabajo a tiempo parcial,Islas Baleares,28
37fa4085-b512-484f-b2ae-3cebf2b446f5_b981c2388d27d31f,Casado/a,Mujer,Casa unifamiliar adosada,2 personas,2 niños/as,"Máster, licenciatura o superior",3001€ - 4000€,Trabajo a tiempo completo,Comunidad de Madrid,84
aa303bd3-4f31-4ead-a625-ace6ae369d59_b981c2388d27d31f,Soltero/a,Mujer,Apartamento o piso,Vivo solo/a,Ninguna,"Máster, licenciatura o superior",2501€ - 3000€,Trabajo a tiempo completo,Canarias,71
5d4065c6-07a1-4738-bac5-7466c711199e_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Mujer,Casa unifamiliar adosada,3 personas,2 niños/as,Educación secundaria,Prefiero no responder,Estudiante,Comunidad de Madrid,87
7f06acfa-1346-458e-9df4-b7fe8ad25542_b981c2388d27d31f,Soltero/a,Mujer,Apartamento o piso,Vivo solo/a,Ninguna,Formación profesional o técnica,1001€ - 1500€,Trabajo a tiempo completo,Asturias,44
9979e540-c737-4bc5-b892-aba960496968_b981c2388d27d31f,Soltero/a,Hombre,Casa unifamiliar no adosada,5 o más personas,Ninguna,Formación profesional o técnica,2501€ - 3000€,Trabajo a tiempo completo,Castilla-La Mancha,50
c0e4cff8-e97b-42da-a896-2645bab26360_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Mujer,Apartamento o piso,2 personas,Ninguna,Formación profesional o técnica,2001€ - 2500€,Trabajo a tiempo completo,Galicia,36
7519c20f-af3a-45b5-a184-0ef0349b78cf_b981c2388d27d31f,Soltero/a,Mujer,Apartamento o piso,3 personas,Ninguna,Educación secundaria,1001€ - 1500€,Estudiante,Andalucía,75
07e991ec-efe8-4152-9d36-4becfff25afd_b981c2388d27d31f,Casado/a,Mujer,Casa unifamiliar adosada,2 personas,Ninguna,Formación profesional o técnica,2501€ - 3000€,Jubilado/a o pensionista,Extremadura,50
1795a9df-db67-4c33-b040-a86b04108a94_b981c2388d27d31f,Soltero/a,Hombre,Casa unifamiliar adosada,2 personas,Ninguna,Educación secundaria,Prefiero no responder,Estudiante,Cataluña,30
097a931f-0da2-466b-a9f3-5a7b1d1899a1_b981c2388d27d31f,Soltero/a,Hombre,Apartamento o piso,Vivo solo/a,Ninguna,"Máster, licenciatura o superior",2001€ - 2500€,Trabajo a tiempo completo,Comunidad Foral de Navarra,50
975ae570-807f-4d9e-b52d-72f9d251a976_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Hombre,Casa unifamiliar no adosada,3 personas,Ninguna,Grado o diplomatura,3001€ - 4000€,Desempleado/a,Castilla-La Mancha,68
33ac9e39-c672-4b34-8180-b8a4f634d6cb_b981c2388d27d31f,Casado/a,Mujer,Apartamento o piso,2 personas,Ninguna,Educación secundaria,2001€ - 2500€,Trabajo a tiempo parcial,Galicia,18
13936038a98cb48f_b981c2388d27d31f_213ba2c3c31a048d_f8d10c57d705e70d1aa8715e31213784,Divorciado/a o separado/a,Mujer,Apartamento o piso,2 personas,Ninguna,Educación secundaria,3001€ - 4000€,Jubilado/a o pensionista,Andalucía,60
91a1450d-0070-44fe-9a78-5d269ce94b34_b981c2388d27d31f,Soltero/a,Hombre,Apartamento o piso,4 personas,Ninguna,Formación profesional o técnica,1501€ - 2000€,Trabajo a tiempo completo,Castilla y León,29
73c0a6f1-ca1a-44b0-a14a-f1046f4e5dc2_b981c2388d27d31f,Viudo/a,Mujer,Apartamento o piso,2 personas,Ninguna,Sin estudios formales,1001€ - 1500€,Jubilado/a o pensionista,País Vasco,37
75c7b53d-ae44-4648-942f-766d4277eefe_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Mujer,Apartamento o piso,2 personas,Ninguna,"Máster, licenciatura o superior",2001€ - 2500€,Trabajo a tiempo completo,Región de Murcia,25
ea03117d-e735-4c27-9f92-614f49506d58_b981c2388d27d31f,Viudo/a,Mujer,Apartamento o piso,Vivo solo/a,Ninguna,Formación profesional o técnica,1001€ - 1500€,Jubilado/a o pensionista,Andalucía,23
7c7a11cc-041d-47f3-a60c-70711e19210d_b981c2388d27d31f,Soltero/a,Mujer,Apartamento o piso,Vivo solo/a,Ninguna,Grado o diplomatura,Prefiero no responder,Jubilado/a o pensionista,Aragón,44
9d679a44-65dd-4809-90bc-c264d650cf38_b981c2388d27d31f,Soltero/a,Mujer,Apartamento o piso,2 personas,Ninguna,Formación profesional o técnica,1501€ - 2000€,Trabajo a tiempo completo,Cataluña,23
bdecdb46-5ec0-47f3-8d3b-0e1ebb7bee40_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,2 personas,Ninguna,Educación secundaria,2501€ - 3000€,Jubilado/a o pensionista,Islas Baleares,75
06bcf18b7b0c1c3b_b981c2388d27d31f_fb3236ba7b2dd95c_8ca5cac36e1c7266101e6f0695dea17a,Soltero/a,Hombre,Casa unifamiliar adosada,3 personas,Ninguna,Formación profesional o técnica,1000€ o menos,Trabajo a tiempo completo,Andalucía,50
09789657-d99e-4af0-82f6-376c6a36a729_b981c2388d27d31f,Casado/a,Mujer,Casa unifamiliar no adosada,2 personas,Ninguna,Educación secundaria,2501€ - 3000€,Jubilado/a o pensionista,Islas Baleares,24
529096ee-a145-4822-94e5-e3bdc4ee5c98_b981c2388d27d31f,Casado/a,Mujer,Apartamento o piso,2 personas,Ninguna,Formación profesional o técnica,Prefiero no responder,Jubilado/a o pensionista,País Vasco,50
a0bab66b-787b-4bb9-8c79-45ed234cb8e1_b981c2388d27d31f,Soltero/a,Mujer,Casa unifamiliar adosada,3 personas,Ninguna,"Máster, licenciatura o superior",2001€ - 2500€,Trabajo a tiempo completo,Canarias,74
ece4a680-1a3c-4637-8e5b-6283ae2441f5_b981c2388d27d31f,Casado/a,Mujer,Apartamento o piso,2 personas,Ninguna,Educación secundaria,1501€ - 2000€,Jubilado/a o pensionista,Comunidad Valenciana,73
abdaeaf3-fc38-4503-96cf-0469df95d2c9_b981c2388d27d31f,Viudo/a,Mujer,Apartamento o piso,Vivo solo/a,Ninguna,Sin estudios formales,1001€ - 1500€,Jubilado/a o pensionista,Islas Baleares,75
3b32c847-1d41-493b-917b-ef8ec4edf6b5_b981c2388d27d31f,Casado/a,Mujer,Apartamento o piso,2 personas,Ninguna,Educación secundaria,3001€ - 4000€,Jubilado/a o pensionista,Castilla-La Mancha,23
914119ae-aafa-4967-a63c-fbe7b6ba68ed_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Mujer,Apartamento o piso,3 personas,1 niño/a,Grado o diplomatura,3001€ - 4000€,Trabajo a tiempo completo,Extremadura,9
5aa2a74a-f29f-49d6-84bb-5747c279cff2_b981c2388d27d31f,Casado/a,Mujer,Casa unifamiliar no adosada,2 personas,Ninguna,Grado o diplomatura,Prefiero no responder,Jubilado/a o pensionista,Castilla-La Mancha,55
cd71e4da-2ff2-4f58-bfbb-9a23bd7331d4_b981c2388d27d31f,Viudo/a,Mujer,Casa unifamiliar no adosada,3 personas,2 niños/as,Educación primaria,1501€ - 2000€,Jubilado/a o pensionista,Castilla-La Mancha,24
d8b1111c-4d3f-4d91-9855-399d81d32b19_b981c2388d27d31f,Divorciado/a o separado/a,Mujer,Casa unifamiliar adosada,Vivo solo/a,Ninguna,Educación secundaria,1000€ o menos,Jubilado/a o pensionista,Andalucía,45
