ticket,marital_status,gender,dwelling,adults,children,education,income,occupation,CCAA,response
d2ea7f58-3fe1-4ff8-8692-9133a9ae2664_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,2 personas,Ninguna,Grado o diplomatura,Prefiero no responder,Trabajo a tiempo parcial,Cataluña,49
0552a05c-8ef7-44ae-b2d4-7dd3afebc8b2_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Mujer,Apartamento o piso,4 personas,Ninguna,Grado o diplomatura,1501€ - 2000€,Estudiante,Cataluña,20
3178b2f0-260a-4942-83bd-8061e09434a0_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,2 personas,Ninguna,Grado o diplomatura,3001€ - 4000€,Trabajo a tiempo completo,Comunidad de Madrid,25
8c4232a5-dba9-4c33-b097-e849ac557195_b981c2388d27d31f,Soltero/a,Mujer,Apartamento o piso,5 o más personas,Ninguna,"Máster, licenciatura o superior",3001€ - 4000€,Estudiante,Cantabria,25
66816265-46b2-45e6-a984-a4df4cc289cd_b981c2388d27d31f,Casado/a,Mujer,Apartamento o piso,4 personas,Ninguna,"Máster, licenciatura o superior",Más de 4000€,Trabajo a tiempo completo,Comunidad Valenciana,24
7f1f9ce0-e62c-4595-989e-685e97e0a01e_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Mujer,Apartamento o piso,2 personas,Ninguna,Grado o diplomatura,Prefiero no responder,Trabajo a tiempo completo,Cataluña,41
dec9fdda-5745-4f0b-a7cb-17289d2e9372_b981c2388d27d31f,Soltero/a,Hombre,Apartamento o piso,3 personas,Ninguna,"Máster, licenciatura o superior",Prefiero no responder,Trabajo a tiempo completo,NA,48
8754828723483ab3_b981c2388d27d31f_4d6bfcf76822d91d_a7e5cd4daa120871c6616ff905de6e35,Soltero/a,Mujer,Apartamento o piso,Vivo solo/a,Ninguna,"Máster, licenciatura o superior",1501€ - 2000€,Trabajo a tiempo completo,Comunidad de Madrid,75
186935b7-8c21-44ad-8961-ac53b0b8111f_b981c2388d27d31f,Soltero/a,Mujer,Apartamento o piso,3 personas,2 niños/as,Formación profesional o técnica,1001€ - 1500€,Trabajo a tiempo completo,Cataluña,25
3a79b3ce-0f5c-4319-ac3a-7339842e2f9b_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,3 personas,Ninguna,Formación profesional o técnica,Prefiero no responder,Jubilado/a o pensionista,Castilla y León,13
ab8f7674-917c-43f2-a207-71be3f15daec_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Hombre,Apartamento o piso,3 personas,Ninguna,Formación profesional o técnica,Prefiero no responder,Trabajo a tiempo completo,Comunidad Valenciana,50
7e5c4eea-6443-4a6a-abd7-cf8693085b9b_b981c2388d27d31f,Casado/a,Mujer,Apartamento o piso,2 personas,1 niño/a,Educación secundaria,Más de 4000€,Trabajo a tiempo completo,Asturias,70
91c63dc0-8c37-4995-9ee9-182af2b949ac_b981c2388d27d31f,Soltero/a,Hombre,Casa unifamiliar adosada,4 personas,Ninguna,Formación profesional o técnica,1501€ - 2000€,Trabajo a tiempo completo,Cataluña,50
f837030b-dc09-4417-9f21-528006cd2585_b981c2388d27d31f,Casado/a,Mujer,Casa unifamiliar no adosada,2 personas,Ninguna,Formación profesional o técnica,Prefiero no responder,Jubilado/a o pensionista,Cataluña,51
c7b3558e-19b7-48e4-9972-2148e5561bc5_b981c2388d27d31f,Casado/a,Hombre,Casa unifamiliar adosada,2 personas,Ninguna,Formación profesional o técnica,Más de 4000€,Jubilado/a o pensionista,Comunidad de Madrid,60
50b7134f-a87a-435d-93f5-849cfdb5bf1c_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Hombre,Apartamento o piso,2 personas,Ninguna,"Máster, licenciatura o superior",Prefiero no responder,Estudiante,Comunidad de Madrid,50
63f3d18fcb327c3f_b981c2388d27d31f_341cc43451886019_e6298f285be9e0efacb0065dc9347761,Soltero/a,Mujer,Apartamento o piso,Vivo solo/a,Ninguna,Formación profesional o técnica,1001€ - 1500€,Trabajo a tiempo completo,Castilla y León,26
47348fb0-e94f-4afe-9230-c76ed65e3a1b_b981c2388d27d31f,Soltero/a,Mujer,Casa unifamiliar no adosada,Vivo solo/a,Ninguna,Grado o diplomatura,1001€ - 1500€,Trabajo a tiempo completo,Comunidad de Madrid,34
29c9b48b-9197-48bd-ae43-0c695b45a7f3_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,4 personas,Ninguna,Grado o diplomatura,Prefiero no responder,Jubilado/a o pensionista,Comunidad Valenciana,12
095647be-8080-4cf7-a66a-da27c764cd0f_b981c2388d27d31f,Prefiero no responder,Otro o prefiero no responder,Otro,4 personas,Ninguna,Formación profesional o técnica,Prefiero no responder,Desempleado/a,Galicia,50
5824426f-e93a-4998-98fb-bd09ac1ff318_b981c2388d27d31f,Casado/a,Mujer,Apartamento o piso,3 personas,Ninguna,Formación profesional o técnica,1001€ - 1500€,Trabajo a tiempo completo,Comunidad de Madrid,25
a0468314-d804-421b-b25a-1fab1a05f6f4_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,2 personas,Ninguna,Educación secundaria,3001€ - 4000€,Jubilado/a o pensionista,NA,49
4b0c756d-8a89-43e6-a83c-5501ecf37c47_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,2 personas,Ninguna,Grado o diplomatura,2001€ - 2500€,Jubilado/a o pensionista,Comunidad de Madrid,50
78bab6fd6c990937_b981c2388d27d31f_a43369ac0692c629_56ba93325dcca793dc3c7ab19c2b10fa,Casado/a,Mujer,Casa unifamiliar no adosada,2 personas,Ninguna,Educación primaria,1501€ - 2000€,Jubilado/a o pensionista,Cantabria,31
1d90c51b-7e98-4f71-a61b-9df8542a95c3_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,2 personas,Ninguna,Grado o diplomatura,3001€ - 4000€,Trabajo a tiempo completo,Cataluña,21
8707a828-4e37-49f6-b856-8cb0f5b6534e_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,4 personas,Ninguna,"Máster, licenciatura o superior",Prefiero no responder,Trabajo a tiempo completo,Cataluña,36
c27b16e8-d5f4-445e-8248-5c79cc3855b3_b981c2388d27d31f,Casado/a,Mujer,Casa unifamiliar adosada,3 personas,1 niño/a,Formación profesional o técnica,Más de 4000€,Trabajo a tiempo completo,País Vasco,50
1a9c08a6-cf4c-42e8-8990-6a9d72d6ca3a_b981c2388d27d31f,Casado/a,Hombre,Casa unifamiliar no adosada,2 personas,Ninguna,Formación profesional o técnica,1501€ - 2000€,Jubilado/a o pensionista,Comunidad de Madrid,25
b8fb5acd635272cb_b981c2388d27d31f_dd0ab91abf4c55c4_54695548bdc56838b03029d017af8b2e,Soltero/a,Mujer,Apartamento o piso,2 personas,Ninguna,Grado o diplomatura,Prefiero no responder,Desempleado/a,Cataluña,5
0017fedb-50c6-4c8e-8af6-65460bbf2e36_b981c2388d27d31f,Casado/a,Mujer,Apartamento o piso,3 personas,Ninguna,Grado o diplomatura,3001€ - 4000€,Jubilado/a o pensionista,NA,4
317ac17c-00dc-4373-8efa-98d354c1a567_b981c2388d27d31f,Soltero/a,Hombre,Apartamento o piso,3 personas,Ninguna,Educación secundaria,3001€ - 4000€,Jubilado/a o pensionista,Castilla y León,62
e4470935-e0c6-411a-ab6b-c5236e06d581_b981c2388d27d31f,Divorciado/a o separado/a,Mujer,Casa unifamiliar no adosada,Vivo solo/a,Ninguna,Educación secundaria,1000€ o menos,Desempleado/a,Región de Murcia,24
6fa08803-3b67-4352-9d81-910147fbd87a_b981c2388d27d31f,Casado/a,Hombre,Casa unifamiliar adosada,2 personas,Ninguna,"Máster, licenciatura o superior",2501€ - 3000€,Trabajo a tiempo completo,Cataluña,32
965e0093-87e7-45ce-8490-d0370fdab33f_b981c2388d27d31f,Soltero/a,Hombre,Apartamento o piso,Vivo solo/a,1 niño/a,Grado o diplomatura,1501€ - 2000€,Trabajo a tiempo completo,Cataluña,26
4ac09373-e436-4641-805f-0f7954a3fbde_b981c2388d27d31f,Casado/a,Mujer,Casa unifamiliar adosada,2 personas,Ninguna,Educación secundaria,2501€ - 3000€,Trabajo a tiempo completo,Cataluña,76
73053dc3-742e-43fd-a0c9-1c8841794df0_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,4 personas,Ninguna,"Máster, licenciatura o superior",Más de 4000€,Trabajo a tiempo completo,Comunidad de Madrid,19
59aec11c-e435-42d6-92f0-83c822f9e286_b981c2388d27d31f,Casado/a,Mujer,Apartamento o piso,4 personas,Ninguna,Educación secundaria,1501€ - 2000€,Desempleado/a,Andalucía,6
9787520e-83e8-462d-a3e7-8323ec656c84_b981c2388d27d31f,Casado/a,Mujer,Casa unifamiliar no adosada,2 personas,2 niños/as,"Máster, licenciatura o superior",3001€ - 4000€,Trabajo a tiempo completo,Andalucía,50
070dab59-00b1-4171-94b3-4eefcf1b5b51_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,3 personas,1 niño/a,"Máster, licenciatura o superior",2501€ - 3000€,Trabajo a tiempo completo,NA,51
9ce76036-5ae0-480a-8729-d6f02ed9c361_b981c2388d27d31f,Casado/a,Hombre,Casa unifamiliar adosada,2 personas,Ninguna,Educación secundaria,2501€ - 3000€,Jubilado/a o pensionista,Cataluña,48
00c227fc0078a550_b981c2388d27d31f_753f5ba6c8f0c152_de34188c57a1071f4ef0455f9a7a7299,Casado/a,Hombre,Casa unifamiliar adosada,3 personas,Ninguna,Grado o diplomatura,1501€ - 2000€,Trabajo a tiempo parcial,Comunidad Valenciana,50
e5297e42-72df-4aba-a617-084ebcf9a1ca_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Hombre,Apartamento o piso,2 personas,Ninguna,"Máster, licenciatura o superior",3001€ - 4000€,Trabajo a tiempo completo,Comunidad de Madrid,0
ndmrpzlqlhczo7po_b981c2388d27d31f_d354b9b5d0b9a155_09399f48a1b858464ab7bea028676885,Divorciado/a o separado/a,Mujer,Apartamento o piso,2 personas,Ninguna,Grado o diplomatura,1001€ - 1500€,Desempleado/a,Cataluña,24
edf9b35f-edd3-4d1a-bd36-8e17828e15e6_b981c2388d27d31f,Soltero/a,Mujer,Apartamento o piso,3 personas,Ninguna,Grado o diplomatura,1501€ - 2000€,Trabajo a tiempo completo,Comunidad de Madrid,49
7c72c429-95fe-489f-8764-c511c4a94cf8_b981c2388d27d31f,Soltero/a,Mujer,Apartamento o piso,2 personas,Ninguna,Grado o diplomatura,1001€ - 1500€,Trabajo a tiempo completo,Aragón,36
6d96d7498a627425_b981c2388d27d31f_54f85748c33c1372_cd061c1f4b653ddce2eb8aaaef589d96,Pareja de hecho o relación estable no matrimonial,Hombre,Apartamento o piso,2 personas,Ninguna,"Máster, licenciatura o superior",Más de 4000€,Trabajo a tiempo completo,Cataluña,78
af5fb69fc2f8c245_b981c2388d27d31f_028367ff8b0d6b3c_bb65b4a57bf40b75323ebe676a1dcccf,Casado/a,Mujer,Apartamento o piso,2 personas,2 niños/as,Formación profesional o técnica,1501€ - 2000€,Trabajo a tiempo completo,Galicia,50
f94876708d76a5cf_b981c2388d27d31f_9fafca72659d8323_e12a3dd6a284e5076f026c1cbb29c2fa,Casado/a,Mujer,Apartamento o piso,2 personas,Ninguna,Grado o diplomatura,2001€ - 2500€,Jubilado/a o pensionista,Comunidad de Madrid,50
6d8b83c7-10b5-43ac-adad-1d7785ee1264_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Mujer,Apartamento o piso,4 personas,2 niños/as,Formación profesional o técnica,2501€ - 3000€,Trabajo a tiempo completo,NA,24
61673772-c2cc-4a76-8645-078a7217b811_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Mujer,Apartamento o piso,2 personas,1 niño/a,Grado o diplomatura,Prefiero no responder,Trabajo a tiempo completo,Castilla-La Mancha,50
e3126015-5ddb-4e55-8107-7f1daaa4a732_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,3 personas,Ninguna,"Máster, licenciatura o superior",Más de 4000€,Trabajo a tiempo completo,Comunidad de Madrid,24
b2684897-58e7-4204-811f-ec35a06210e4_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Mujer,Apartamento o piso,2 personas,Ninguna,Grado o diplomatura,Prefiero no responder,Trabajo a tiempo completo,Cataluña,24
a27354e0-a48f-4552-b02a-50747eb5df66_b981c2388d27d31f,Soltero/a,Mujer,Apartamento o piso,Vivo solo/a,Ninguna,"Máster, licenciatura o superior",Prefiero no responder,Trabajo a tiempo completo,Comunidad de Madrid,50
6fc63f0e-7e79-4a95-accb-1e7c99bddab8_b981c2388d27d31f,Casado/a,Mujer,Casa unifamiliar no adosada,2 personas,Ninguna,Formación profesional o técnica,2501€ - 3000€,Trabajo a tiempo completo,Galicia,75
3759d538-f76b-4b19-ae6f-f17072a55f55_b981c2388d27d31f,Casado/a,Mujer,Apartamento o piso,2 personas,1 niño/a,"Máster, licenciatura o superior",Más de 4000€,Trabajo a tiempo completo,País Vasco,39
adf1a57b-d487-4ce3-b001-d8770318d892_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,2 personas,Ninguna,Educación secundaria,2501€ - 3000€,Jubilado/a o pensionista,NA,39
f538d022-b5e7-4805-8447-84537cfe5e48_b981c2388d27d31f,Casado/a,Mujer,Casa unifamiliar no adosada,5 o más personas,Ninguna,"Máster, licenciatura o superior",Más de 4000€,Trabajo a tiempo completo,Comunidad de Madrid,9
c9617a58-2187-4012-b326-0d6b75d7ea76_b981c2388d27d31f,Soltero/a,Hombre,Apartamento o piso,Vivo solo/a,Ninguna,"Máster, licenciatura o superior",2001€ - 2500€,Jubilado/a o pensionista,Andalucía,38
d634ba9535b9d60d_b981c2388d27d31f_c72d0a2a81a3b38d_fd29575ed9c4ca23ecd271ed08e37706,Soltero/a,Hombre,Apartamento o piso,4 personas,Ninguna,Grado o diplomatura,Prefiero no responder,Trabajo a tiempo completo,Galicia,9
76470c34-ffee-4c41-9079-49782d973937_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Hombre,Apartamento o piso,2 personas,Ninguna,"Máster, licenciatura o superior",3001€ - 4000€,Trabajo a tiempo completo,Cataluña,0
b1e26c8a-b091-4bb5-9cbb-4c816fd9f873_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,4 personas,Ninguna,Formación profesional o técnica,2001€ - 2500€,Trabajo a tiempo completo,Castilla-La Mancha,75
281e814c-c16b-4ada-9ffc-55a87365fda6_b981c2388d27d31f,Soltero/a,Mujer,Apartamento o piso,2 personas,1 niño/a,Grado o diplomatura,3001€ - 4000€,Trabajo a tiempo completo,Comunidad de Madrid,50
22c1ea42-9a46-4917-b8c2-4e3a61fef724_b981c2388d27d31f,Soltero/a,Hombre,Casa unifamiliar adosada,3 personas,Ninguna,Grado o diplomatura,1000€ o menos,Trabajo a tiempo completo,Galicia,45
8de5c072-0ba0-4054-913d-368692a8882e_b981c2388d27d31f,Casado/a,Mujer,Casa unifamiliar adosada,4 personas,2 niños/as,Formación profesional o técnica,Prefiero no responder,Trabajo a tiempo completo,Comunidad de Madrid,61
a4c352d8-dfc0-4ca3-b4b4-5e419d6329e1_b981c2388d27d31f,Divorciado/a o separado/a,Mujer,Apartamento o piso,Vivo solo/a,1 niño/a,Grado o diplomatura,Prefiero no responder,Trabajo a tiempo completo,Comunidad de Madrid,26
3b147d1f-3b64-43c1-b7a8-21ad45385d07_b981c2388d27d31f,Casado/a,Hombre,Casa unifamiliar no adosada,3 personas,1 niño/a,Grado o diplomatura,Más de 4000€,Trabajo a tiempo completo,Andalucía,74
83021064201681c4_b981c2388d27d31f_96746a8197d77bdd_73ae4bbe08174cdc5cb3d1df991ab47a,Divorciado/a o separado/a,Mujer,Apartamento o piso,3 personas,2 niños/as,Educación secundaria,1501€ - 2000€,Trabajo a tiempo parcial,NA,8
b1f6d1e0-c144-411d-9fcb-78ca706d6a69_b981c2388d27d31f,Soltero/a,Mujer,Casa unifamiliar adosada,2 personas,Ninguna,Formación profesional o técnica,2001€ - 2500€,Desempleado/a,Cataluña,26
5d1aaecf-a2a1-4b4e-ab7f-9ac4452b72b8_b981c2388d27d31f,Soltero/a,Hombre,Casa unifamiliar no adosada,Vivo solo/a,Ninguna,"Máster, licenciatura o superior",2501€ - 3000€,Trabajo a tiempo completo,Comunidad Valenciana,50
4f6b7f2d-bce8-4653-97ef-f12b08edd043_b981c2388d27d31f,Casado/a,Hombre,Ático,2 personas,Ninguna,Grado o diplomatura,Prefiero no responder,Jubilado/a o pensionista,Cataluña,24
a0ee77fe-e978-411c-9d79-dac7a7fea157_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Hombre,Apartamento o piso,2 personas,Ninguna,"Máster, licenciatura o superior",3001€ - 4000€,Trabajo a tiempo completo,Comunidad Valenciana,25
cec86772-9771-4dd7-8d3a-750bb9612a4b_b981c2388d27d31f,Casado/a,Hombre,Casa unifamiliar adosada,2 personas,Ninguna,Educación primaria,1001€ - 1500€,Jubilado/a o pensionista,Andalucía,75
2982507b6444588b_b981c2388d27d31f_54f85748c33c1372_1c87a20bb3b50f670ddeffb7f87182de,Soltero/a,Mujer,Apartamento o piso,Vivo solo/a,Ninguna,Grado o diplomatura,Prefiero no responder,Trabajo a tiempo completo,Cataluña,31
5f51963e-dc13-4c31-b365-ad21693d4be5_b981c2388d27d31f,Soltero/a,Mujer,Apartamento o piso,Vivo solo/a,Ninguna,"Máster, licenciatura o superior",1501€ - 2000€,Trabajo a tiempo completo,Comunidad de Madrid,14
761c9290-d5a5-4824-a559-fef44346b218_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Mujer,Apartamento o piso,2 personas,Ninguna,"Máster, licenciatura o superior",3001€ - 4000€,Trabajo a tiempo completo,Comunidad de Madrid,10
ce9e602b-9962-447b-8376-c2987a277541_b981c2388d27d31f,Casado/a,Hombre,Ático,2 personas,Ninguna,Grado o diplomatura,2501€ - 3000€,Trabajo a tiempo completo,Comunidad de Madrid,17
bf17431acc7fa963_b981c2388d27d31f_db61ff41d01f9205_cde8c02027fa0ad8dc60a5cbd231495b,Soltero/a,Mujer,Apartamento o piso,Vivo solo/a,Ninguna,"Máster, licenciatura o superior",Prefiero no responder,Trabajo a tiempo completo,NA,50
5d12ec02-d76e-4401-a185-a06f814427cc_b981c2388d27d31f,Casado/a,Mujer,Casa unifamiliar no adosada,2 personas,2 niños/as,"Máster, licenciatura o superior",3001€ - 4000€,Trabajo a tiempo completo,Castilla y León,100
1a179f62-1fa6-49fc-af99-2471ec9c3997_b981c2388d27d31f,Divorciado/a o separado/a,Hombre,Apartamento o piso,Vivo solo/a,Ninguna,Formación profesional o técnica,2001€ - 2500€,Trabajo a tiempo completo,Andalucía,75
9290fbfd-3890-4009-b5cd-21975ab93a0d_b981c2388d27d31f,Casado/a,Mujer,Apartamento o piso,2 personas,Ninguna,"Máster, licenciatura o superior",3001€ - 4000€,Trabajo a tiempo completo,Andalucía,58
fe736fce-8968-49d9-82f4-a7120ef17322_b981c2388d27d31f,Soltero/a,Hombre,Ático,3 personas,Ninguna,Formación profesional o técnica,2501€ - 3000€,Jubilado/a o pensionista,Cataluña,11
78c1e878-203d-4f9b-892d-b3c4dcbac738_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,2 personas,Ninguna,"Máster, licenciatura o superior",Más de 4000€,Jubilado/a o pensionista,Galicia,75
77186031c1588acc_b981c2388d27d31f_f769bd388c2c84a2_305689eed5ef84acd7b1fea71d978b83,Pareja de hecho o relación estable no matrimonial,Hombre,Apartamento o piso,2 personas,Ninguna,"Máster, licenciatura o superior",3001€ - 4000€,Trabajo a tiempo completo,Comunidad de Madrid,24
86a68aa15b807499_b981c2388d27d31f_7a7a72403a869d91_c37b096bbe6f1bed322a7d2a38d64f34,Soltero/a,Hombre,Casa unifamiliar adosada,4 personas,Ninguna,Educación secundaria,1001€ - 1500€,Trabajo a tiempo completo,Andalucía,75
ca8af788-02b2-45d8-a86d-e3dd554bed63_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,4 personas,Ninguna,Educación secundaria,1501€ - 2000€,Jubilado/a o pensionista,Comunidad Valenciana,51
ab1efe8c-1a09-4ab1-b0d6-19d2c1e19a63_b981c2388d27d31f,Casado/a,Hombre,Casa unifamiliar adosada,2 personas,Ninguna,"Máster, licenciatura o superior",Más de 4000€,Jubilado/a o pensionista,Comunidad Foral de Navarra,25
eb323022-a5f7-4137-b7d0-1569ec64ae7b_b981c2388d27d31f,Casado/a,Mujer,Casa unifamiliar no adosada,2 personas,Ninguna,"Máster, licenciatura o superior",Más de 4000€,Jubilado/a o pensionista,Andalucía,49
df9f69ff497785c1_b981c2388d27d31f_d6b621f35b601d06_89db289a3b4982edc60c7015f3802080,Pareja de hecho o relación estable no matrimonial,Hombre,Apartamento o piso,3 personas,1 niño/a,"Máster, licenciatura o superior",Más de 4000€,Trabajo a tiempo completo,Comunidad Valenciana,19
0ffbd38d-f5e6-4e19-9d59-8b499cd06360_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,3 personas,Ninguna,Grado o diplomatura,3001€ - 4000€,Jubilado/a o pensionista,Comunidad Valenciana,10
b13c0d8532d97462_b981c2388d27d31f_7f2d4ad8d894bb70_f2582ea28de8b44795d5b084ce917065,Casado/a,Mujer,Casa unifamiliar no adosada,2 personas,1 niño/a,"Máster, licenciatura o superior",3001€ - 4000€,Trabajo a tiempo parcial,Castilla-La Mancha,23
86e12757-c8af-4bdd-9952-8a5af755d49b_b981c2388d27d31f,Casado/a,Hombre,Ático,2 personas,Ninguna,Grado o diplomatura,3001€ - 4000€,Trabajo a tiempo completo,Cataluña,24
b9260908-ab0a-4dc3-87a0-9635868e49af_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Mujer,Apartamento o piso,4 personas,Ninguna,Formación profesional o técnica,Prefiero no responder,Trabajo a tiempo completo,Comunidad de Madrid,86
3fcd6af7-8368-44d1-9480-951cf3e8f314_b981c2388d27d31f,Casado/a,Mujer,Apartamento o piso,2 personas,Ninguna,"Máster, licenciatura o superior",3001€ - 4000€,Trabajo a tiempo completo,NA,25
ca7dc1a7-f74b-421a-b343-41a40642f875_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,2 personas,Ninguna,Educación secundaria,1001€ - 1500€,Jubilado/a o pensionista,La Rioja,74
d78f08d4cb29ba3d_b981c2388d27d31f_9fafca72659d8323_ac3acfcfc6c6a50228ffdfc6d97152dd,Soltero/a,Hombre,Apartamento o piso,4 personas,Ninguna,"Máster, licenciatura o superior",Prefiero no responder,Trabajo a tiempo completo,Comunidad de Madrid,88
83fa5b20-4acc-4884-912c-18c04d277e97_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,2 personas,Ninguna,Formación profesional o técnica,Más de 4000€,Jubilado/a o pensionista,Aragón,41
d5e0928e-a00c-455e-be59-334e46bb8471_b981c2388d27d31f,Soltero/a,Hombre,Apartamento o piso,2 personas,Ninguna,Formación profesional o técnica,2001€ - 2500€,Trabajo a tiempo completo,Comunidad Valenciana,100
02c37646-8b99-45f4-83b7-598754507c20_b981c2388d27d31f,Soltero/a,Hombre,Apartamento o piso,Vivo solo/a,Ninguna,Grado o diplomatura,Prefiero no responder,Trabajo a tiempo completo,Islas Baleares,76
f3fa8044-b047-49b3-9eec-cdee85eb7f75_b981c2388d27d31f,Soltero/a,Hombre,Apartamento o piso,Vivo solo/a,Ninguna,Grado o diplomatura,Prefiero no responder,Trabajo a tiempo completo,Cataluña,18
1f12faa37dbf72f3_b981c2388d27d31f_9df05972322fa574_a5bd8cf12cc2a679d70d39662875d99f,Soltero/a,Hombre,Apartamento o piso,3 personas,Ninguna,Grado o diplomatura,1501€ - 2000€,Trabajo a tiempo completo,Cataluña,24
09314dd451af7c74_b981c2388d27d31f_795883f4a5bb2f83_ae880230643dcc4ece58a9f6ce772c4a,Casado/a,Hombre,Apartamento o piso,3 personas,Ninguna,Grado o diplomatura,Prefiero no responder,Trabajo a tiempo completo,Comunidad de Madrid,20
0b580a42-bec9-400d-8fac-7a7657cbb3c6_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Mujer,Apartamento o piso,2 personas,Ninguna,"Máster, licenciatura o superior",1501€ - 2000€,Trabajo a tiempo completo,Andalucía,35
9f528d6e-81d7-43ef-b916-b08d57486251_b981c2388d27d31f,Divorciado/a o separado/a,Hombre,Apartamento o piso,Vivo solo/a,Ninguna,"Máster, licenciatura o superior",2501€ - 3000€,Trabajo a tiempo completo,País Vasco,50
eb05547b-bd59-4aa0-825a-c88b7f0b810c_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Hombre,Apartamento o piso,2 personas,1 niño/a,Formación profesional o técnica,2001€ - 2500€,Trabajo a tiempo completo,Cataluña,25
73123039-81b3-4ea0-87d1-ca3d1435dba2_b981c2388d27d31f,Soltero/a,Mujer,Apartamento o piso,Vivo solo/a,Ninguna,Formación profesional o técnica,1501€ - 2000€,Trabajo a tiempo completo,Comunidad Valenciana,50
a84384ee-f7ba-454f-88f1-bb2776ec2e06_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Mujer,Apartamento o piso,2 personas,Ninguna,"Máster, licenciatura o superior",3001€ - 4000€,Trabajo a tiempo completo,Cataluña,25
65505069-6556-4263-b333-6becc192999b_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,2 personas,Ninguna,"Máster, licenciatura o superior",Más de 4000€,Trabajo a tiempo completo,País Vasco,28
e06b1385-f6e9-404a-8270-ea5b3d993142_b981c2388d27d31f,Divorciado/a o separado/a,Mujer,Casa unifamiliar no adosada,Vivo solo/a,Ninguna,"Máster, licenciatura o superior",2501€ - 3000€,Trabajo a tiempo completo,Aragón,100
e3de193a-54c5-4493-99af-174e4d9ccb57_b981c2388d27d31f,Divorciado/a o separado/a,Hombre,Apartamento o piso,Vivo solo/a,Ninguna,"Máster, licenciatura o superior",2501€ - 3000€,Jubilado/a o pensionista,Galicia,41
b6510911-0642-47a0-9ea6-a624f2774067_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,4 personas,Ninguna,Grado o diplomatura,2501€ - 3000€,Trabajo a tiempo completo,Asturias,25
ei2nqhxyssbxg6bo_b981c2388d27d31f_b9a4d9b78c024d73_77442728e651d075c2698496ab0b9c0c,Casado/a,Mujer,Casa unifamiliar adosada,4 personas,Ninguna,"Máster, licenciatura o superior",Más de 4000€,Trabajo a tiempo completo,Comunidad de Madrid,50
3fef4d6e-50a3-40fd-955f-e7b00a6bfadd_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Hombre,Casa unifamiliar no adosada,3 personas,1 niño/a,"Máster, licenciatura o superior",3001€ - 4000€,Trabajo a tiempo completo,Galicia,17
f01bb0e5-2d75-43e8-8469-7876a084e0bf_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Hombre,Dúplex o loft,2 personas,Ninguna,Educación secundaria,2501€ - 3000€,Trabajo a tiempo completo,Comunidad de Madrid,50
a6d48837-da86-4f0b-b3ab-4be9f5ac8c09_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Mujer,Apartamento o piso,2 personas,Ninguna,"Máster, licenciatura o superior",2001€ - 2500€,Trabajo a tiempo completo,Cataluña,24
f4505b78-7779-4398-92dd-2b94a13cec5d_b981c2388d27d31f,Casado/a,Mujer,Casa unifamiliar adosada,2 personas,2 niños/as,"Máster, licenciatura o superior",3001€ - 4000€,Trabajo a tiempo completo,Comunidad de Madrid,78
